Digit,precision,recall
0,98.18%,99.08%
1,97.92%,99.38%
2,97.50%,98.16%
3,98.11%,97.43%
4,97.45%,97.35%
5,98.07%,97.09%
6,98.32%,98.02%
7,97.85%,97.37%
8,97.21%,96.51%
9,97.22%,97.13%
