epoch,accuracy,loss,val_accuracy,val_loss
1,93.2550,0.2296,96.4900,0.1174
2,96.9667,0.0973,97.1000,0.0891
3,97.8750,0.0666,97.3600,0.0864
4,98.3233,0.0520,97.6500,0.0811
5,98.7667,0.0389,97.7900,0.0769
6,98.9183,0.0326,97.6800,0.0956
7,99.1350,0.0264,97.7800,0.0911
8,99.2017,0.0240,97.6500,0.0847
9,99.2950,0.0208,97.3600,0.1069
10,99.4017,0.0174,97.9900,0.0910
