Digit,precision,recall
0,99.49%,99.80%
1,99.38%,99.47%
2,98.56%,99.22%
3,98.43%,99.11%
4,98.48%,98.98%
5,99.09%,98.09%
6,99.37%,98.54%
7,98.82%,98.15%
8,98.67%,98.97%
9,98.11%,97.92%
