epoch,accuracy,loss,val_accuracy,val_loss
1,92.3967,0.2574,95.8300,0.1351
2,96.7383,0.1046,96.7300,0.1072
3,97.7167,0.0729,97.1600,0.0927
4,98.2517,0.0545,97.1500,0.0933
5,98.6433,0.0409,97.4100,0.0911
6,98.9333,0.0322,97.3500,0.0976
7,99.0983,0.0258,97.4300,0.1005
8,99.2767,0.0214,97.5800,0.1026
9,99.4583,0.0156,97.6200,0.1041
10,99.4567,0.0154,97.4500,0.1122
