Digit,precision,recall
0,97.89%,99.29%
1,98.85%,98.85%
2,96.92%,97.48%
3,97.78%,95.94%
4,96.71%,98.88%
5,95.80%,97.20%
6,98.33%,98.23%
7,96.20%,98.44%
8,97.00%,96.41%
9,98.85%,93.66%
