Digit,precision,recall
0,98.17%,98.57%
1,97.16%,99.30%
2,95.83%,97.97%
3,96.53%,96.53%
4,97.52%,96.23%
5,95.70%,97.31%
6,97.81%,98.12%
7,96.24%,96.98%
8,98.48%,93.43%
9,96.08%,94.65%
